2049,sum_top_down,sum_bottom_up,count_top_down,count_bottom_up,diff,_count,over_median,winner
4 lettered,0.440906858733,0.559093141267,0.5,0.5,-0.12,1,False,bottom_up
a pull,0.475546672937,0.524453327063,0.5,0.5,-0.05,1,False,bottom_up
a red,0.514596978574,0.485403021426,0.5,0.5,0.03,2,False,top_down
a type,0.512142503134,0.487857496866,0.5,0.5,0.02,2,False,top_down
a white,0.505314328088,0.494685671912,0.5,0.5,0.01,1,False,top_down
according to,0.502500273753,0.497499726247,0.5,0.5,0.01,2,False,top_down
adult or,0.482539857671,0.517460142329,0.5,0.5,-0.03,2,False,bottom_up
am i,0.499085542308,0.500914457692,0.5,0.5,-0.0,2,False,bottom_up
android or,0.535404823666,0.464595176334,0.5,0.5,0.07,2,False,top_down
animal creature,0.47157694702,0.52842305298,0.5,0.5,-0.06,2,False,bottom_up
animal on,0.493517338373,0.506482661627,0.5,0.5,-0.01,2,False,bottom_up
"animal, vegetable",0.446707236248,0.553292763752,0.5,0.5,-0.11,2,False,bottom_up
any brick,0.524850226189,0.475149773811,0.5,0.5,0.05,2,False,top_down
any cars,0.509105119187,0.490894880813,0.5,0.5,0.02,2,False,top_down
any chains,0.496276632421,0.503723367579,0.5,0.5,-0.01,2,False,bottom_up
any chocolate,0.503258010521,0.496741989479,0.5,0.5,0.01,2,False,top_down
any green,0.472455403987,0.527544596013,0.5,0.5,-0.06,2,False,bottom_up
any of,0.512498071285,0.487501928715,0.5,0.5,0.02,1,False,top_down
any people,0.497477921338,0.502522078662,0.5,0.5,-0.01,8,True,bottom_up
any pictures,0.501756942064,0.498243057936,0.5,0.5,0.0,2,False,top_down
any plants,0.477945576794,0.522054423206,0.5,0.5,-0.04,2,False,bottom_up
any vegetables,0.472735284398,0.527264715602,0.5,0.5,-0.05,2,False,bottom_up
anyone inside,0.513529368629,0.486470631371,0.5,0.5,0.03,1,False,top_down
anyone on,0.503539905231,0.496460094769,0.5,0.5,0.01,4,False,top_down
anyone sleeping,0.497291749815,0.502708250185,0.5,0.5,-0.01,1,False,bottom_up
anyone wearing,0.498128024838,0.501871975162,0.5,0.5,-0.0,2,False,bottom_up
anyone women,0.519866198907,0.480133801093,0.5,0.5,0.04,2,False,top_down
anything on,0.514577757019,0.485422242981,0.5,0.5,0.03,4,False,top_down
are,0.501048573299,0.498951426701,0.5,0.5,0.0,5085,True,top_down
are the,0.496408620642,0.503591379358,0.5,0.5,-0.01,11204,True,bottom_up
are there,0.493295588862,0.506704411138,0.5,0.5,-0.01,4051,True,bottom_up
are there any,0.49638698271,0.50361301729,0.5,0.5,-0.01,1312,True,bottom_up
are these,0.497156500174,0.502843499826,0.5,0.5,-0.01,7266,True,bottom_up
are they,0.497995132174,0.502004867826,0.5,0.5,-0.0,3778,True,bottom_up
at these,0.501442948054,0.498557051946,0.5,0.5,0.0,4,False,top_down
bedroom or,0.497581435219,0.502418564781,0.5,0.5,-0.0,2,False,bottom_up
before or,0.51525851198,0.48474148802,0.5,0.5,0.03,1,False,top_down
bike or,0.459470723067,0.540529276933,0.5,0.5,-0.08,1,False,bottom_up
bird or,0.456840303776,0.543159696224,0.5,0.5,-0.09,1,False,bottom_up
black and,0.487234387553,0.512765612447,0.5,0.5,-0.03,20,True,bottom_up
boy or,0.482048231859,0.517951768141,0.5,0.5,-0.04,3,False,bottom_up
breakfast in,0.522266119443,0.477733880557,0.5,0.5,0.04,2,False,top_down
cabinets hang,0.525714556572,0.474285443428,0.5,0.5,0.05,2,False,top_down
can 20,0.503089810492,0.496910189508,0.5,0.5,0.01,1,False,top_down
can a,0.506197278016,0.493802721984,0.5,0.5,0.01,73,True,top_down
can all,0.486513016626,0.513486983374,0.5,0.5,-0.03,3,False,bottom_up
can an,0.506677745883,0.493322254117,0.5,0.5,0.01,4,False,top_down
can any,0.49731243041,0.50268756959,0.5,0.5,-0.01,20,True,bottom_up
can anymore,0.503683485266,0.496316514734,0.5,0.5,0.01,2,False,top_down
can anyone,0.494507980395,0.505492019605,0.5,0.5,-0.01,5,True,bottom_up
