2049,sum_top_down,sum_bottom_up,count_top_down,count_bottom_up,diff,_count,over_median,winner
"""take me",0.492938672857,0.507061327143,0.5,0.5,-0.01,1,False,bottom_up
1. about,0.493725460005,0.506274539995,0.5,0.5,-0.01,1,False,bottom_up
1. approximately,0.505703745743,0.494296254257,0.5,0.5,0.01,2,False,top_down
1. are,0.475826373368,0.524173626632,0.5,0.5,-0.05,2,False,bottom_up
1. do,0.518743610133,0.481256389867,0.5,0.5,0.04,1,False,top_down
1. does,0.418094141356,0.581905858644,0.5,0.5,-0.16,2,False,bottom_up
1. what,0.511447043758,0.488552956242,0.5,0.5,0.02,2,False,top_down
3 people,0.491350293542,0.508649706458,0.5,0.5,-0.02,1,False,bottom_up
3 poles,0.503312883436,0.496687116564,0.5,0.5,0.01,1,False,top_down
4 lettered,0.440906858733,0.559093141267,0.5,0.5,-0.12,1,False,bottom_up
5 speakers,0.499544365318,0.500455634682,0.5,0.5,-0.0,2,False,bottom_up
6234 is,0.493876530867,0.506123469133,0.5,0.5,-0.01,1,False,bottom_up
a book,0.505551700208,0.494448299792,0.5,0.5,0.01,2,False,top_down
a dish,0.484948083962,0.515051916038,0.5,0.5,-0.03,2,False,bottom_up
a gambler,0.513476325374,0.486523674626,0.5,0.5,0.03,2,False,top_down
a kite,0.478271524261,0.521728475739,0.5,0.5,-0.04,2,False,bottom_up
a person,0.503159231624,0.496840768376,0.5,0.5,0.01,5,True,top_down
a piece,0.489854318418,0.510145681582,0.5,0.5,-0.02,2,False,bottom_up
a pile,0.520604345109,0.479395654891,0.5,0.5,0.04,2,False,top_down
a pull,0.475546672937,0.524453327063,0.5,0.5,-0.05,1,False,bottom_up
a red,0.514596978574,0.485403021426,0.5,0.5,0.03,2,False,top_down
a street,0.528323282305,0.471676717695,0.5,0.5,0.06,2,False,top_down
a tennis,0.507793273175,0.492206726825,0.5,0.5,0.02,2,False,top_down
a type,0.512142503134,0.487857496866,0.5,0.5,0.02,2,False,top_down
a view,0.43028028615,0.56971971385,0.5,0.5,-0.14,2,False,bottom_up
a white,0.505314328088,0.494685671912,0.5,0.5,0.01,1,False,top_down
a zebra,0.461890243902,0.538109756098,0.5,0.5,-0.08,1,False,bottom_up
aa stands,0.526647335266,0.473352664734,0.5,0.5,0.05,1,False,top_down
about how,0.484882886205,0.515117113795,0.5,0.5,-0.03,98,True,bottom_up
about what,0.484526774934,0.515473225066,0.5,0.5,-0.03,36,True,bottom_up
about when,0.508181432811,0.491818567189,0.5,0.5,0.02,1,False,top_down
according to,0.493626659142,0.506373340858,0.5,0.5,-0.01,74,True,bottom_up
adult or,0.482539857671,0.517460142329,0.5,0.5,-0.03,2,False,bottom_up
adults wear,0.494348272864,0.505651727136,0.5,0.5,-0.01,1,False,bottom_up
after a,0.511518947394,0.488481052606,0.5,0.5,0.02,2,False,top_down
after one,0.488881363585,0.511118636415,0.5,0.5,-0.02,1,False,bottom_up
after the,0.500448503629,0.499551496371,0.5,0.5,0.0,1,False,top_down
after this,0.478566325316,0.521433674684,0.5,0.5,-0.04,1,False,bottom_up
after what,0.483873615101,0.516126384899,0.5,0.5,-0.03,4,True,bottom_up
airplane is,0.526998730964,0.473001269036,0.5,0.5,0.05,2,False,top_down
airplanes from,0.49961699635,0.50038300365,0.5,0.5,-0.0,2,False,bottom_up
all of,0.485319454415,0.514680545585,0.5,0.5,-0.03,4,True,bottom_up
all the,0.453376333811,0.546623666189,0.5,0.5,-0.09,4,True,bottom_up
all this,0.51939214081,0.48060785919,0.5,0.5,0.04,2,False,top_down
am i,0.495974615605,0.504025384395,0.5,0.5,-0.01,6,True,bottom_up
an afternoon,0.503222572329,0.496777427671,0.5,0.5,0.01,2,False,top_down
android or,0.535404823666,0.464595176334,0.5,0.5,0.07,2,False,top_down
animal creature,0.47157694702,0.52842305298,0.5,0.5,-0.06,2,False,bottom_up
animal on,0.493517338373,0.506482661627,0.5,0.5,-0.01,2,False,bottom_up
"animal, vegetable",0.446707236248,0.553292763752,0.5,0.5,-0.11,2,False,bottom_up
animals raising,0.493024457458,0.506975542542,0.5,0.5,-0.01,1,False,bottom_up
another topping,0.439479867131,0.560520132869,0.5,0.5,-0.12,2,False,bottom_up
any animals,0.47936228482,0.52063771518,0.5,0.5,-0.04,2,False,bottom_up
any arms,0.519572953737,0.480427046263,0.5,0.5,0.04,2,False,top_down
any brick,0.524850226189,0.475149773811,0.5,0.5,0.05,2,False,top_down
any brown,0.483206182503,0.516793817497,0.5,0.5,-0.03,2,False,bottom_up
any carrots,0.469146209873,0.530853790127,0.5,0.5,-0.06,2,False,bottom_up
any cars,0.509105119187,0.490894880813,0.5,0.5,0.02,2,False,top_down
any chains,0.496276632421,0.503723367579,0.5,0.5,-0.01,2,False,bottom_up
any chocolate,0.503258010521,0.496741989479,0.5,0.5,0.01,2,False,top_down
any clouds,0.503116083496,0.496883916504,0.5,0.5,0.01,2,False,top_down
any dogs,0.480133804126,0.519866195874,0.5,0.5,-0.04,2,False,bottom_up
any green,0.472455403987,0.527544596013,0.5,0.5,-0.06,2,False,bottom_up
any men,0.509435133457,0.490564866543,0.5,0.5,0.02,2,False,top_down
any mirrors,0.52592622553,0.47407377447,0.5,0.5,0.05,2,False,top_down
any of,0.510981308411,0.489018691589,0.5,0.5,0.02,3,True,top_down
any people,0.497742581104,0.502257418896,0.5,0.5,-0.0,10,True,bottom_up
any pictures,0.496485597042,0.503514402958,0.5,0.5,-0.01,4,True,bottom_up
any plants,0.477945576794,0.522054423206,0.5,0.5,-0.04,2,False,bottom_up
any snow,0.478070765505,0.521929234495,0.5,0.5,-0.04,1,False,bottom_up
any vegetables,0.472735284398,0.527264715602,0.5,0.5,-0.05,2,False,bottom_up
any visible,0.480001573131,0.519998426869,0.5,0.5,-0.04,2,False,bottom_up
any water,0.471313464712,0.528686535288,0.5,0.5,-0.06,2,False,bottom_up
any windows,0.496405937646,0.503594062354,0.5,0.5,-0.01,2,False,bottom_up
