_q_type,sum_bottom_up,count_bottom_up,_count,winner,my_score,base_score,above_median,o_top_down,o_bottom_up,_diff,diff_score,percen
a color,0.493466770425,0.5,1,top_down,1.0,1.0,False,698.558790322,680.538867116,0.0130664591509,0.0,0.002
a there,0.475017122573,0.5,1,top_down,1.0,1.0,False,700.817028511,634.116087681,0.0499657548539,0.0,0.002
a watermelon,0.481349437882,0.5,1,top_down,1.0,1.0,False,837.329582678,777.109201036,0.0373011242355,0.0,0.002
about how,0.471057255999,0.5,3,top_down,1.5,1.5,True,2524.16327512,2247.92841864,0.0578854880014,0.0,0.005
according to,0.510564195945,0.5,1,bottom_up,1.0,1.0,False,760.73072242,793.570610089,-0.0211283918904,0.0,0.002
all the,0.515768504477,0.5,1,bottom_up,1.0,1.0,False,621.722877198,662.214419212,-0.0315370089546,0.0,0.002
among the,0.47755224578,0.5,1,top_down,1.0,1.0,False,629.76530567,575.647676935,0.0448955084406,0.0,0.002
any books,0.528432680926,0.5,2,bottom_up,2.0,2.0,False,1325.4687327,1485.30436181,-0.0568653618526,0.0,0.003
any leaves,0.525434586062,0.5,1,bottom_up,1.0,1.0,False,923.726035185,1022.74121265,-0.0508691721246,0.0,0.002
any pets,0.464904329806,0.5,1,top_down,1.0,1.0,False,834.583552424,725.106796259,0.0701913403885,0.0,0.002
anyone on,0.536099587429,0.5,1,bottom_up,1.0,1.0,False,551.485354949,637.315818761,-0.0721991748579,0.0,0.002
anything hung,0.494512395408,0.5,1,top_down,1.0,1.0,False,729.011712763,713.183320589,0.0109752091832,0.0,0.002
anything on,0.515842999486,0.5,1,bottom_up,1.0,1.0,False,569.268931819,606.525141621,-0.0316859989717,0.0,0.002
approximately what,0.471398069527,0.5,1,top_down,0.3,0.3,False,932.711761716,831.776235671,0.0572038609469,0.0,0.002
are,0.497574565352,0.5,442,top_down,435.4,435.9,True,384684.033975,380969.946589,0.00485086929583,-0.5,0.737
are the,0.494894842593,0.5,1778,top_down,1745.3,1748.7,True,1543591.3762,1512388.85597,0.0102103148137,-3.4,2.963
are the people,0.49531966872,0.5,239,top_down,235.2,235.6,True,204263.942535,200475.314921,0.00936066256036,-0.4,0.398
are there,0.499127050251,0.5,577,top_down,568.0,571.0,True,492261.820657,490545.937086,0.00174589949898,-3.0,0.962
are there any,0.520281135288,0.5,357,bottom_up,356.2,356.8,True,285215.602749,309331.795173,-0.0405622705753,-0.6,0.595
are these,0.49188795964,0.5,253,top_down,245.9,246.6,True,229841.271749,222502.411322,0.0162240807192,-0.7,0.422
are they,0.498027723768,0.5,834,top_down,829.2,830.3,True,720560.186293,714897.94638,0.00394455246347,-1.1,1.39
aside from,0.480419436514,0.5,2,top_down,2.0,2.0,False,1748.05775509,1616.30549854,0.0391611269728,0.0,0.003
assuming the,0.476592550749,0.5,1,top_down,0.9,0.9,False,666.191478118,606.605611552,0.0468148985016,0.0,0.002
assuming this,0.497602486004,0.5,1,top_down,1.0,1.0,False,808.046402479,800.334172599,0.00479502799244,0.0,0.002
bald children,0.469694324909,0.5,1,top_down,1.0,1.0,False,595.38988563,527.339727866,0.0606113501826,0.0,0.002
based on,0.509392929578,0.5,6,bottom_up,5.3,5.3,True,4786.02493165,4969.28684471,-0.0187858591564,0.0,0.01
beside the,0.484012090505,0.5,1,top_down,1.0,1.0,False,984.766406467,923.740340195,0.0319758189898,0.0,0.002
"besides fish,",0.469979052575,0.5,1,top_down,1.0,1.0,False,861.827518005,764.197872486,0.0600418948498,0.0,0.002
besides the,0.459990878826,0.5,5,top_down,5.0,5.0,True,4571.62390598,3894.20329346,0.0800182423479,0.0,0.008
besides trees,0.460396116486,0.5,1,top_down,1.0,1.0,False,982.288768314,838.099850681,0.0792077670276,0.0,0.002
