_q_type,sum_bottom_up,count_bottom_up,_count,winner,my_score,base_score,above_median,o_top_down,o_bottom_up,_diff,diff_score,percen
"""take me",0.507146718888,0.5,1,bottom_up,0.0,0.0,False,509.936900483,524.72578723,-0.014293437777,0.0,0.0
1. approximately,0.494267625863,0.5,2,top_down,0.0,0.0,False,1782.16449211,1741.76354424,0.011464748273,0.0,0.001
1. are,0.524056551263,0.5,2,bottom_up,0.0,0.0,False,1213.23555793,1335.8814877,-0.0481131025261,0.0,0.001
1. do,0.481318925436,0.5,1,top_down,0.6,0.0,False,912.963301774,847.199824559,0.0373621491276,0.6,0.0
1. does,0.581962553476,0.5,2,bottom_up,0.3,0.3,False,580.479781139,808.103433035,-0.163925106953,0.0,0.001
1. what,0.488604818779,0.5,2,top_down,0.0,0.0,False,1636.87609182,1563.92859295,0.022790362443,0.0,0.001
3 poles,0.496809172749,0.5,1,top_down,0.6,1.0,False,615.697729636,607.889220467,0.00638165450223,-0.4,0.0
5 speakers,0.500524673483,0.5,2,bottom_up,1.0,1.0,False,1479.98946962,1483.09877728,-0.00104934696503,0.0,0.001
6234 is,0.506039057679,0.5,1,bottom_up,0.0,1.0,False,789.997877985,809.314558081,-0.0120781153578,-1.0,0.0
a person,0.510187194237,0.5,1,bottom_up,0.0,0.0,False,461.725864822,480.931941159,-0.0203743884739,0.0,0.0
aa stands,0.473964999284,0.5,1,top_down,0.0,0.0,False,525.988929082,473.923488088,0.0520700014321,0.0,0.0
about how,0.512724342566,0.5,38,bottom_up,11.8,10.7,True,21994.2713173,23142.9543614,-0.0254486851322,1.1,0.018
about what,0.522944474742,0.5,12,bottom_up,5.0,5.3,True,7083.94136157,7765.36021131,-0.0458889494838,-0.3,0.006
about when,0.491838127058,0.5,1,top_down,0.0,0.0,False,599.437494131,580.181690324,0.0163237458841,0.0,0.0
according to,0.505342102618,0.5,31,bottom_up,7.4,8.2,True,22191.057752,22670.366415,-0.0106842052351,-0.8,0.014
after one,0.511213413237,0.5,1,bottom_up,0.0,0.0,False,433.247750502,453.126307696,-0.0224268264737,0.0,0.0
after what,0.516134038402,0.5,4,bottom_up,1.0,1.0,True,2358.5854428,2515.87490364,-0.032268076805,0.0,0.002
all of,0.48678914234,0.5,2,top_down,1.3,1.2,False,1672.61005178,1586.49880536,0.0264217153193,0.1,0.001
all the,0.556423560043,0.5,2,bottom_up,0.3,0.3,False,1329.90754501,1668.23984338,-0.112847120085,0.0,0.001
am i,0.499898983133,0.5,4,top_down,3.2,3.3,True,3861.72696845,3860.16688541,0.000202033733243,-0.1,0.002
animal on,0.506413123241,0.5,2,bottom_up,0.9,0.9,False,1122.8930224,1152.07228821,-0.0128262464816,0.0,0.001
"animal, vegetable",0.553308215036,0.5,2,bottom_up,0.0,1.0,False,1482.64662512,1836.52483724,-0.106616430073,-1.0,0.001
any chocolate,0.496729763431,0.5,2,top_down,2.0,1.0,False,1684.05214579,1662.16629397,0.00654047313826,1.0,0.001
any clouds,0.496866008087,0.5,2,top_down,1.0,1.0,False,1340.2443884,1323.54778216,0.00626798382641,0.0,0.001
any pictures,0.503500815651,0.5,4,bottom_up,4.0,3.0,True,2443.81826985,2478.28099412,-0.00700163130115,1.0,0.002
any vegetables,0.527323810576,0.5,2,bottom_up,1.9,2.0,False,1286.84762085,1435.62423122,-0.0546476211527,-0.1,0.001
any windows,0.503653875364,0.5,2,bottom_up,2.0,2.0,False,1167.18730081,1184.37190934,-0.0073077507276,0.0,0.001
anyone inside,0.486439000147,0.5,1,top_down,1.0,1.0,False,700.093295142,663.120218622,0.0271219997064,0.0,0.0
anyone on,0.496399627996,0.5,4,top_down,4.0,4.0,True,2710.06781554,2671.31783506,0.00720074400869,0.0,0.002
anything cooking,0.503862822213,0.5,2,bottom_up,1.0,2.0,False,1355.90001496,1377.01353328,-0.00772564442683,-1.0,0.001
anything on,0.485342397697,0.5,4,top_down,0.0,3.0,True,2864.45495132,2701.29388539,0.0293152046064,-3.0,0.002
apple or,0.545777749072,0.5,2,bottom_up,0.0,0.0,False,1139.79397776,1369.537028,-0.0915554981441,0.0,0.001
approximately how,0.513595124246,0.5,12,bottom_up,5.3,4.6,True,6801.8179154,7182.0425565,-0.0271902484916,0.7,0.006
approximately what,0.495420954313,0.5,13,top_down,5.4,6.6,True,8061.65785578,7915.33905815,0.00915809137426,-1.2,0.006
are,0.498668531642,0.5,2331,top_down,1756.3,1755.7,True,1743157.94809,1733898.76611,0.00266293671528,0.600000000001,1.087
are the,0.50414692157,0.5,5293,bottom_up,4134.9,4110.9,True,3945962.40702,4011964.20203,-0.00829384313967,24.0,2.469
are there,0.506699887076,0.5,2769,bottom_up,2307.3,2282.0,True,2064568.49161,2120649.46704,-0.0133997741518,25.3,1.292
are there any,0.504950515254,0.5,1332,bottom_up,1162.0,1144.5,True,957771.148614,976926.650546,-0.0099010305071,17.5,0.621
are these,0.504479268216,0.5,2839,bottom_up,2220.0,2245.2,True,2180676.06762,2220100.58559,-0.00895853643115,-25.2,1.324
are they,0.502416984695,0.5,1335,bottom_up,1055.2,1053.3,True,1020764.30444,1030680.92789,-0.00483396938944,1.9,0.623
around what,0.515017992691,0.5,3,bottom_up,1.0,1.3,True,1956.47066208,2077.63912466,-0.0300359853818,-0.3,0.001
as far,0.518729170476,0.5,2,bottom_up,0.0,0.0,False,1182.01152667,1274.01001911,-0.0374583409515,0.0,0.001
as the,0.491977822528,0.5,2,top_down,2.0,1.0,False,1602.54207952,1551.93060019,0.0160443549432,1.0,0.001
aside from,0.526139710826,0.5,3,bottom_up,1.6,1.3,True,1938.34683973,2152.19816692,-0.0522794216515,0.3,0.001
assuming slightly,0.533186159855,0.5,2,bottom_up,1.0,1.0,False,905.328496326,1034.04951364,-0.0663723197104,0.0,0.001
assuming the,0.497182436242,0.5,2,top_down,0.0,0.6,False,1182.0062571,1168.7593929,0.00563512751687,-0.6,0.001
assuming these,0.499327233803,0.5,1,top_down,1.0,1.0,False,635.314636571,633.607261052,0.00134553239423,0.0,0.0
at least,0.527816210872,0.5,1,bottom_up,0.0,0.0,False,551.794451166,616.806555204,-0.055632421745,0.0,0.0
at some,0.505063437835,0.5,2,bottom_up,0.9,1.9,False,961.281988855,980.950738205,-0.0101268756704,-1.0,0.001
at the,0.543364288065,0.5,2,bottom_up,2.0,1.9,False,928.952840738,1105.3883561,-0.0867285761306,0.1,0.001
at this,0.509453052757,0.5,2,bottom_up,2.0,1.0,False,1270.02194396,1318.96969302,-0.0189061055138,1.0,0.001
at what,0.497647172007,0.5,17,top_down,4.6,4.9,True,11690.836338,11581.3255501,0.00470565598601,-0.3,0.008
at which,0.512499863123,0.5,4,bottom_up,3.0,3.0,True,3381.14040632,3554.53027469,-0.0249997262469,0.0,0.002
based on,0.518625931816,0.5,34,bottom_up,21.3,18.4,True,21426.5074172,23084.6302476,-0.0372518636328,2.9,0.016
based upon,0.542977348254,0.5,1,bottom_up,0.0,0.0,False,546.703096155,649.524473894,-0.0859546965088,0.0,0.0
because mercedes,0.475057597961,0.5,2,top_down,0.0,0.0,False,1201.40100964,1087.23295281,0.0498848040779,0.0,0.001
because there,0.503718711063,0.5,1,bottom_up,1.0,1.0,False,664.674096731,674.635104619,-0.00743742212624,0.0,0.0
