_q_type,sum_bottom_up,count_bottom_up,_count,winner,my_score,base_score,above_median,o_top_down,o_bottom_up,_diff,diff_score,percen
a both,0.496502223207,0.5,1,top_down,0.0,1.0,False,607.440857194,599.00112764,0.00699555358657,-1.0,0.003
a girl,0.525571656877,0.5,1,bottom_up,1.0,1.0,False,526.470853403,583.224343005,-0.0511433137547,0.0,0.003
about how,0.472805927121,0.5,2,top_down,0.3,0.3,False,1305.54415591,1170.85727398,0.0543881457588,0.0,0.007
about what,0.504789286355,0.5,1,bottom_up,0.0,0.0,False,652.326415245,664.943985559,-0.00957857271089,0.0,0.003
any coats,0.518402083411,0.5,1,bottom_up,1.0,1.0,False,853.500605422,918.725926345,-0.0368041668228,0.0,0.003
are,0.496739848635,0.5,201,top_down,157.0,146.0,True,165363.435547,163220.965778,0.00652030272931,11.0,0.67
are the,0.494397692033,0.5,898,top_down,715.7,713.5,True,738327.348542,721965.329929,0.0112046159333,2.2,2.993
are the people,0.495791922999,0.5,135,top_down,107.8,108.4,True,110203.902623,108364.398143,0.0084161540013,-0.6,0.45
are there,0.499606071572,0.5,292,top_down,245.9,237.5,True,240243.650196,239865.392995,0.000787856855837,8.4,0.973
are there any,0.521550276178,0.5,195,bottom_up,173.2,171.0,True,153105.791959,166898.1381,-0.0431005523555,2.2,0.65
are these,0.492615326833,0.5,116,top_down,99.7,98.0,True,102456.456003,99474.0740693,0.0147693463337,1.7,0.387
are they,0.497434375179,0.5,414,top_down,342.6,342.6,True,344343.048869,340827.26892,0.00513124964267,5.68434188608e-14,1.38
at what,0.523291394686,0.5,1,bottom_up,0.0,0.0,False,582.958606529,639.923884013,-0.0465827893723,0.0,0.003
bacon or,0.438375919398,0.5,1,top_down,0.0,1.0,False,1058.56547235,826.263737993,0.123248161203,-1.0,0.003
"besides butterflies,",0.466084465226,0.5,1,top_down,1.0,1.0,False,713.12910448,622.529924026,0.0678310695472,0.0,0.003
"besides pizza,",0.496277123446,0.5,1,top_down,0.0,0.0,False,805.275748944,793.372607973,0.0074457531073,0.0,0.003
besides the,0.425480441583,0.5,1,top_down,0.0,0.0,False,966.618772644,715.863152441,0.149039116834,0.0,0.003
brown chocolate,0.479069965206,0.5,1,top_down,1.0,1.0,False,489.162497424,449.855153224,0.0418600695875,0.0,0.003
can,0.499801183474,0.5,140,top_down,106.8,110.8,True,113227.08266,113137.072789,0.000397633052956,-4.0,0.467
cooked bread,0.518979088351,0.5,1,bottom_up,0.0,0.0,False,618.802250578,667.632986628,-0.0379581767024,0.0,0.003
could a,0.49097253642,0.5,5,top_down,3.0,5.0,True,3995.04708299,3853.34493674,0.0180549271607,-2.0,0.017
could another,0.476358557343,0.5,1,top_down,1.0,0.6,False,726.685239511,661.068250403,0.0472828853142,0.4,0.003
could bugs,0.502315260822,0.5,1,bottom_up,0.0,0.0,False,868.105702236,876.182667283,-0.00463052164318,0.0,0.003
could he,0.493983804746,0.5,6,top_down,4.6,3.6,True,5167.31966562,5044.44769298,0.0120323905081,1.0,0.02
could her,0.488598979977,0.5,1,top_down,1.0,1.0,False,1183.56584336,1130.79372383,0.0228020400452,0.0,0.003
could it,0.48726780635,0.5,1,top_down,1.0,0.6,False,914.430742597,869.016354975,0.0254643873002,0.4,0.003
could one,0.500651235822,0.5,1,bottom_up,1.0,1.0,False,782.630006581,784.671372186,-0.00130247164499,0.0,0.003
could she,0.48848584763,0.5,1,top_down,1.0,0.9,False,821.193014525,784.223005187,0.023028304741,0.1,0.003
could six,0.482252884176,0.5,1,top_down,0.0,0.0,False,823.167089715,766.734745672,0.0354942316481,0.0,0.003
could someone,0.520560955149,0.5,1,bottom_up,1.0,1.0,False,931.811307792,1011.7335866,-0.0411219102983,0.0,0.003
could the,0.492163127235,0.5,34,top_down,27.1,24.7,True,28313.6026324,27439.7389441,0.0156737455296,2.4,0.113
could these,0.476198073979,0.5,6,top_down,5.0,5.0,True,7103.90499453,6458.29216746,0.0476038520422,0.0,0.02
could they,0.489390425934,0.5,9,top_down,7.6,7.6,True,8664.61818754,8304.54695863,0.0212191481323,0.0,0.03
could this,0.492113411742,0.5,11,top_down,9.0,10.0,True,10205.1584813,9888.22204352,0.0157731765153,-1.0,0.037
could you,0.495627869397,0.5,3,top_down,2.0,3.0,True,2414.88015391,2373.01356065,0.00874426120628,-1.0,0.01
did a,0.499874755697,0.5,3,top_down,1.0,1.0,True,2120.39236436,2119.33036212,0.000250488606334,0.0,0.01
did all,0.518596813185,0.5,1,bottom_up,0.3,0.3,False,715.97741141,771.294445154,-0.0371936263702,0.0,0.003
did both,0.49770928454,0.5,1,top_down,1.0,0.3,False,683.82211089,677.584918629,0.00458143092092,0.7,0.003
did grandpa,0.492507122164,0.5,1,top_down,1.0,1.0,False,1006.01053487,976.304052796,0.0149857556711,0.0,0.003
did he,0.484822524618,0.5,9,top_down,6.0,7.0,True,6635.95336157,6244.95405125,0.0303549507646,-1.0,0.03
did her,0.496696542851,0.5,1,top_down,1.0,1.0,False,622.675168918,614.501250345,0.00660691429753,0.0,0.003
did it,0.500349506852,0.5,2,bottom_up,2.0,2.0,False,1399.54005414,1401.49801814,-0.00069901370366,0.0,0.007
did she,0.486490219665,0.5,12,top_down,7.4,8.5,True,8696.18112402,8238.61049446,0.0270195606697,-1.1,0.04
did somebody,0.50108901868,0.5,2,bottom_up,2.0,2.0,False,1351.3284535,1357.22779019,-0.00217803736021,0.0,0.007
did someone,0.501050459521,0.5,7,bottom_up,2.9,2.9,True,4710.72392212,4730.5592938,-0.00210091904155,0.0,0.023
did something,0.491806631907,0.5,2,top_down,1.6,1.6,False,1299.23517584,1257.34123269,0.0163867361864,0.0,0.007
did the,0.494047555359,0.5,171,top_down,129.5,133.8,True,127816.457462,124808.979604,0.0119048892828,-4.3,0.57
did this,0.490052054306,0.5,1,top_down,1.0,1.0,False,533.316931253,512.509286416,0.0198958913876,0.0,0.003
did you,0.489218506814,0.5,1,top_down,1.0,1.0,False,937.003890129,897.447636854,0.0215629863712,0.0,0.003
do,0.497366669708,0.5,125,top_down,102.4,100.5,True,105933.78515,104823.796502,0.00526666058315,1.9,0.417
do the,0.49276239503,0.5,288,top_down,216.1,221.9,True,228037.649321,221530.062313,0.0144752099396,-5.8,0.96
does,0.493261130849,0.5,196,top_down,156.6,159.5,True,160055.039852,155798.054504,0.0134777383025,-2.9,0.653
does the,0.494778107784,0.5,691,top_down,572.2,566.9,True,565194.999523,553511.470309,0.0104437844321,5.3,2.303
even though,0.529288706343,0.5,1,bottom_up,0.0,0.0,False,444.851446556,500.210744537,-0.0585774126854,0.0,0.003
everyone has,0.501660424716,0.5,1,bottom_up,0.0,0.0,False,472.989234809,476.141153922,-0.00332084943273,0.0,0.003
for how,0.461803894704,0.5,1,top_down,1.0,1.0,False,642.501521386,551.304073013,0.0763922105918,0.0,0.003
for the,0.483596758343,0.5,1,top_down,1.0,1.0,False,596.256318601,558.37686435,0.0328064833146,0.0,0.003
