2049,sum_top_down,sum_bottom_up,count_top_down,count_bottom_up,diff,_count,over_median,winner
a both,0.50373072459,0.49626927541,0.5,0.5,0.01,1,False,top_down
a color,0.506126295947,0.493873704053,0.5,0.5,0.01,1,False,top_down
a girl,0.474637354717,0.525362645283,0.5,0.5,-0.05,1,False,bottom_up
a there,0.524971920629,0.475028079371,0.5,0.5,0.05,1,False,top_down
a watermelon,0.518534589636,0.481465410364,0.5,0.5,0.04,1,False,top_down
about how,0.528366445916,0.471633554084,0.5,0.5,0.06,5,True,top_down
about what,0.495254726293,0.504745273707,0.5,0.5,-0.01,1,False,bottom_up
according to,0.489423262393,0.510576737607,0.5,0.5,-0.02,1,False,bottom_up
all the,0.483958884909,0.516041115091,0.5,0.5,-0.03,1,False,bottom_up
among the,0.522269221199,0.477730778801,0.5,0.5,0.04,1,False,top_down
any books,0.471624266145,0.528375733855,0.5,0.5,-0.06,2,False,bottom_up
any coats,0.481339280673,0.518660719327,0.5,0.5,-0.04,1,False,bottom_up
any leaves,0.474555361365,0.525444638635,0.5,0.5,-0.05,1,False,bottom_up
any pets,0.535201333675,0.464798666325,0.5,0.5,0.07,1,False,top_down
anyone on,0.463570587245,0.536429412755,0.5,0.5,-0.07,1,False,bottom_up
anything hung,0.505757491676,0.494242508324,0.5,0.5,0.01,1,False,top_down
anything on,0.484257998639,0.515742001361,0.5,0.5,-0.03,1,False,bottom_up
approximately what,0.528501813237,0.471498186763,0.5,0.5,0.06,1,False,top_down
are,0.502676017466,0.497323982534,0.5,0.5,0.01,643,True,top_down
are the,0.505266022856,0.494733977144,0.5,0.5,0.01,2676,True,top_down
are the people,0.5045137577,0.4954862423,0.5,0.5,0.01,374,True,top_down
are there,0.500715351295,0.499284648705,0.5,0.5,0.0,869,True,top_down
are there any,0.479275002881,0.520724997119,0.5,0.5,-0.04,552,True,bottom_up
are these,0.507887140233,0.492112859767,0.5,0.5,0.02,369,True,top_down
are they,0.502164004273,0.497835995727,0.5,0.5,0.0,1248,True,top_down
aside from,0.519399881165,0.480600118835,0.5,0.5,0.04,2,False,top_down
assuming the,0.523704866562,0.476295133438,0.5,0.5,0.05,1,False,top_down
assuming this,0.50202026481,0.49797973519,0.5,0.5,0.0,1,False,top_down
at what,0.476739432589,0.523260567411,0.5,0.5,-0.05,1,False,bottom_up
bacon or,0.561743469951,0.438256530049,0.5,0.5,0.12,1,False,top_down
bald children,0.530632235085,0.469367764915,0.5,0.5,0.06,1,False,top_down
based on,0.490624455357,0.509375544643,0.5,0.5,-0.02,6,True,bottom_up
beside the,0.516230531229,0.483769468771,0.5,0.5,0.03,1,False,top_down
"besides butterflies,",0.534107076001,0.465892923999,0.5,0.5,0.07,1,False,top_down
"besides fish,",0.529896653543,0.470103346457,0.5,0.5,0.06,1,False,top_down
"besides pizza,",0.50394094833,0.49605905167,0.5,0.5,0.01,1,False,top_down
besides the,0.545761776674,0.454238223326,0.5,0.5,0.09,6,True,top_down
besides trees,0.539885726843,0.460114273157,0.5,0.5,0.08,1,False,top_down
brown chocolate,0.521475007993,0.478524992007,0.5,0.5,0.04,1,False,top_down
by which,0.479281302639,0.520718697361,0.5,0.5,-0.04,1,False,bottom_up
can,0.499603995845,0.500396004155,0.5,0.5,-0.0,483,True,bottom_up
color is,0.523767989533,0.476232010467,0.5,0.5,0.05,1,False,top_down
considering his,0.518810895384,0.481189104616,0.5,0.5,0.04,1,False,top_down
cooked bread,0.480793157076,0.519206842924,0.5,0.5,-0.04,1,False,bottom_up
could 5,0.542285510131,0.457714489869,0.5,0.5,0.08,1,False,top_down
could a,0.507615729219,0.492384270781,0.5,0.5,0.02,7,True,top_down
could an,0.483184061415,0.516815938585,0.5,0.5,-0.03,1,False,bottom_up
could another,0.521998166819,0.478001833181,0.5,0.5,0.04,2,False,top_down
could any,0.515639662183,0.484360337817,0.5,0.5,0.03,1,False,top_down
could bugs,0.498023035929,0.501976964071,0.5,0.5,-0.0,1,False,bottom_up
