2049,sum_top_down,sum_bottom_up,count_top_down,count_bottom_up,diff,_count,over_median,winner
a both,0.50373072459,0.49626927541,0.5,0.5,0.01,1,False,top_down
a watermelon,0.518534589636,0.481465410364,0.5,0.5,0.04,1,False,top_down
any coats,0.481339280673,0.518660719327,0.5,0.5,-0.04,1,False,bottom_up
are,0.505014413768,0.494985586232,0.5,0.5,0.01,485,True,top_down
are the,0.507226157709,0.492773842291,0.5,0.5,0.01,1814,True,top_down
are the people,0.504968830737,0.495031169263,0.5,0.5,0.01,330,True,top_down
are there,0.503323736232,0.496676263768,0.5,0.5,0.01,453,True,top_down
are there any,0.480328192311,0.519671807689,0.5,0.5,-0.04,314,True,bottom_up
are these,0.508668569852,0.491331430148,0.5,0.5,0.02,330,True,top_down
are they,0.502760679922,0.497239320078,0.5,0.5,0.01,1131,True,top_down
bacon or,0.561743469951,0.438256530049,0.5,0.5,0.12,1,False,top_down
brown chocolate,0.521475007993,0.478524992007,0.5,0.5,0.04,1,False,top_down
can,0.502248302806,0.497751697194,0.5,0.5,0.0,294,True,top_down
could a,0.520042643923,0.479957356077,0.5,0.5,0.04,2,False,top_down
could any,0.515639662183,0.484360337817,0.5,0.5,0.03,1,False,top_down
could bugs,0.498023035929,0.501976964071,0.5,0.5,-0.0,1,False,bottom_up
could he,0.510066466035,0.489933533965,0.5,0.5,0.02,7,True,top_down
could her,0.511279170268,0.488720829732,0.5,0.5,0.02,1,False,top_down
could she,0.510310392955,0.489689607045,0.5,0.5,0.02,3,False,top_down
could six,0.517675179268,0.482324820732,0.5,0.5,0.04,1,False,top_down
could that,0.516967353952,0.483032646048,0.5,0.5,0.03,3,False,top_down
could the,0.506250792468,0.493749207532,0.5,0.5,0.01,59,True,top_down
could their,0.517420492968,0.482579507032,0.5,0.5,0.03,1,False,top_down
could there,0.519754878245,0.480245121755,0.5,0.5,0.04,1,False,top_down
could these,0.523614333011,0.476385666989,0.5,0.5,0.05,6,False,top_down
could they,0.512584698136,0.487415301864,0.5,0.5,0.03,21,True,top_down
could those,0.508133472367,0.491866527633,0.5,0.5,0.02,1,False,top_down
could you,0.500275077939,0.499724922061,0.5,0.5,0.0,5,False,top_down
did a,0.503498535215,0.496501464785,0.5,0.5,0.01,3,False,top_down
did all,0.496816118604,0.503183881396,0.5,0.5,-0.01,2,False,bottom_up
did anyone,0.490366594197,0.509633405803,0.5,0.5,-0.02,2,False,bottom_up
did both,0.501983835415,0.498016164585,0.5,0.5,0.0,1,False,top_down
did grandma,0.511936795099,0.488063204901,0.5,0.5,0.02,1,False,top_down
did he,0.509926021713,0.490073978287,0.5,0.5,0.02,22,True,top_down
did her,0.505213978696,0.494786021304,0.5,0.5,0.01,2,False,top_down
did it,0.499428530609,0.500571469391,0.5,0.5,-0.0,2,False,bottom_up
did one,0.515659601392,0.484340398608,0.5,0.5,0.03,1,False,top_down
did she,0.512405472804,0.487594527196,0.5,0.5,0.02,26,True,top_down
did somebody,0.495962097556,0.504037902444,0.5,0.5,-0.01,4,False,bottom_up
did someone,0.505556824886,0.494443175114,0.5,0.5,0.01,18,True,top_down
did something,0.518656272821,0.481343727179,0.5,0.5,0.04,4,False,top_down
did the,0.507670191805,0.492329808195,0.5,0.5,0.02,306,True,top_down
did you,0.510767050101,0.489232949899,0.5,0.5,0.02,1,False,top_down
do,0.500388335565,0.499611664435,0.5,0.5,0.0,885,True,top_down
do the,0.507384507722,0.492615492278,0.5,0.5,0.01,598,True,top_down
does,0.507290156226,0.492709843774,0.5,0.5,0.01,289,True,top_down
does the,0.506764362026,0.493235637974,0.5,0.5,0.01,1566,True,top_down
goes the,0.545963289061,0.454036710939,0.5,0.5,0.09,1,False,top_down
gray shirt,0.505378720896,0.494621279104,0.5,0.5,0.01,2,False,top_down
had the,0.534984984985,0.465015015015,0.5,0.5,0.07,1,False,top_down
hair color,0.490741281617,0.509258718383,0.5,0.5,-0.02,1,False,bottom_up
has an,0.479002524287,0.520997475713,0.5,0.5,-0.04,1,False,bottom_up
has any,0.46918195681,0.53081804319,0.5,0.5,-0.06,1,False,bottom_up
has anyone,0.482697008007,0.517302991993,0.5,0.5,-0.03,3,False,bottom_up
has anything,0.512991215904,0.487008784096,0.5,0.5,0.03,1,False,top_down
has dinner,0.481785170435,0.518214829565,0.5,0.5,-0.04,1,False,bottom_up
has he,0.508745063271,0.491254936729,0.5,0.5,0.02,2,False,top_down
has it,0.499574920298,0.500425079702,0.5,0.5,-0.0,1,False,bottom_up
has she,0.507558005215,0.492441994785,0.5,0.5,0.02,4,False,top_down
has someone,0.492739660037,0.507260339963,0.5,0.5,-0.01,1,False,bottom_up
has the,0.501483162049,0.498516837951,0.5,0.5,0.0,107,True,top_down
have all,0.49988044951,0.50011955049,0.5,0.5,-0.0,4,False,bottom_up
have any,0.495936497416,0.504063502584,0.5,0.5,-0.01,44,True,bottom_up
have her,0.485399056374,0.514600943626,0.5,0.5,-0.03,8,True,bottom_up
have people,0.508377277885,0.491622722115,0.5,0.5,0.02,1,False,top_down
have the,0.500948988262,0.499051011738,0.5,0.5,0.0,120,True,top_down
have these,0.515663821973,0.484336178027,0.5,0.5,0.03,2,False,top_down
have they,0.500355504152,0.499644495848,0.5,0.5,0.0,13,True,top_down
how,0.518320366139,0.481679633861,0.5,0.5,0.04,245,True,top_down
how many,0.528862871228,0.471137128772,0.5,0.5,0.06,6278,True,top_down
how many animals are,0.531218437981,0.468781562019,0.5,0.5,0.06,185,True,top_down
how many birds are,0.531383453595,0.468616546405,0.5,0.5,0.06,198,True,top_down
how many bushes,0.53662985246,0.46337014754,0.5,0.5,0.07,300,True,top_down
how many clouds are,0.519884315589,0.480115684411,0.5,0.5,0.04,205,True,top_down
how many people are,0.513528650168,0.486471349832,0.5,0.5,0.03,526,True,top_down
how many pictures,0.515345263567,0.484654736433,0.5,0.5,0.03,145,True,top_down
how many pillows,0.535719785735,0.464280214265,0.5,0.5,0.07,212,True,top_down
how many plants are,0.522932348302,0.477067651698,0.5,0.5,0.05,177,True,top_down
how many trees are,0.518466241781,0.481533758219,0.5,0.5,0.04,295,True,top_down
how many windows are,0.503907914033,0.496092085967,0.5,0.5,0.01,233,True,top_down
if he,0.501521191775,0.498478808225,0.5,0.5,0.0,1,False,top_down
if she,0.509720388816,0.490279611184,0.5,0.5,0.02,2,False,top_down
if the,0.505347516917,0.494652483083,0.5,0.5,0.01,5,False,top_down
if two,0.50878886055,0.49121113945,0.5,0.5,0.02,1,False,top_down
in the,0.51775375488,0.48224624512,0.5,0.5,0.04,1931,True,top_down
is,0.511093481614,0.488906518386,0.5,0.5,0.02,2421,True,top_down
is anyone,0.485008517888,0.514991482112,0.5,0.5,-0.03,195,True,bottom_up
is he,0.505920638733,0.494079361267,0.5,0.5,0.01,427,True,top_down
is it,0.50348736115,0.49651263885,0.5,0.5,0.01,1369,True,top_down
is she,0.506809272113,0.493190727887,0.5,0.5,0.01,610,True,top_down
is that,0.507536519225,0.492463480775,0.5,0.5,0.02,343,True,top_down
is the,0.502299333514,0.497700666486,0.5,0.5,0.0,4704,True,top_down
is the baby,0.502437275294,0.497562724706,0.5,0.5,0.0,511,True,top_down
is the boy,0.50446388095,0.49553611905,0.5,0.5,0.01,481,True,top_down
is the cat,0.51100860244,0.48899139756,0.5,0.5,0.02,668,True,top_down
is the dog,0.509822741327,0.490177258673,0.5,0.5,0.02,1170,True,top_down
