_q_type,sum_bottom_up,count_bottom_up,_count,winner,my_score,base_score,above_median,o_top_down,o_bottom_up,_diff,diff_score,percen
1. about,0.505965981243,0.5,1,bottom_up,0.3,0.3,False,641.622380127,657.118912511,-0.0119319624869,0.0,0.0
3 people,0.508531685668,0.5,1,bottom_up,0.3,1.0,False,628.399173521,650.216670464,-0.0170633713368,-0.7,0.0
4 lettered,0.55923641124,0.5,1,bottom_up,0.9,0.3,False,538.2002487,682.863066021,-0.118472822479,0.6,0.0
a book,0.494435593412,0.5,2,top_down,0.0,0.0,False,1602.55595665,1567.27945061,0.011128813175,0.0,0.0
a dish,0.514934754297,0.5,2,bottom_up,2.0,2.0,False,1298.88544983,1378.8686489,-0.0298695085941,0.0,0.0
a gambler,0.486493083883,0.5,2,top_down,0.0,0.0,False,1269.23232514,1202.46237907,0.0270138322335,0.0,0.0
a kite,0.521998877698,0.5,2,bottom_up,2.0,2.0,False,1170.34700198,1278.07193968,-0.0439977553953,0.0,0.0
a person,0.494532869106,0.5,4,top_down,2.6,2.3,True,2707.37174459,2648.80589609,0.0109342617872,0.3,0.001
a piece,0.510194025004,0.5,2,bottom_up,2.0,1.0,False,1130.02052534,1177.05734433,-0.0203880500088,1.0,0.0
a pile,0.479354097367,0.5,2,top_down,2.0,2.0,False,1416.55670677,1304.21128469,0.0412918052654,0.0,0.0
a pull,0.524117705016,0.5,1,bottom_up,1.0,1.0,False,809.873995076,891.962790221,-0.0482354100312,0.0,0.0
a red,0.485334477683,0.5,2,top_down,2.0,2.0,False,1563.57129683,1474.46258931,0.0293310446343,0.0,0.0
a street,0.47171121191,0.5,2,top_down,0.0,0.0,False,2049.82554755,1830.29758541,0.0565775761804,0.0,0.0
a tennis,0.492259823097,0.5,2,top_down,2.0,2.0,False,1361.78549211,1320.2663802,0.0154803538055,0.0,0.0
a type,0.487851004044,0.5,2,top_down,2.0,2.0,False,1757.34087594,1673.96698528,0.0242979919113,0.0,0.0
a view,0.569762873641,0.5,2,bottom_up,0.0,0.3,False,1100.64093154,1457.57839475,-0.139525747282,-0.3,0.0
a white,0.495309249094,0.5,1,top_down,1.0,1.0,False,612.375895103,600.992675658,0.00938150181182,0.0,0.0
a zebra,0.538094736298,0.5,1,bottom_up,0.0,0.0,False,635.860486429,740.743194882,-0.0761894725961,0.0,0.0
about how,0.516530054532,0.5,60,bottom_up,24.5,30.0,True,36905.8570584,39429.5127084,-0.033060109065,-5.5,0.014
about what,0.511890879799,0.5,24,bottom_up,14.4,16.6,True,15187.7722394,15927.7542092,-0.0237817595989,-2.2,0.005
according to,0.507159269746,0.5,43,bottom_up,22.0,25.1,True,29941.1189901,30811.0006139,-0.014318539492,-3.1,0.01
adult or,0.517437378976,0.5,2,bottom_up,1.6,2.0,False,1749.35818488,1875.78414622,-0.0348747579515,-0.4,0.0
adults wear,0.505866312419,0.5,1,bottom_up,0.0,0.0,False,624.836272176,639.672276583,-0.011732624838,0.0,0.0
after a,0.488593280986,0.5,2,top_down,2.0,1.6,False,2106.37075339,2012.40726629,0.0228134380275,0.4,0.0
after the,0.499576682654,0.5,1,top_down,1.0,1.0,False,613.846559661,612.808031328,0.000846634692952,0.0,0.0
after this,0.521654587099,0.5,1,bottom_up,1.0,1.0,False,803.686884102,876.452325821,-0.0433091741977,0.0,0.0
airplane is,0.47303951057,0.5,2,top_down,1.3,1.3,False,1660.98338874,1491.02406164,0.0539209788604,0.0,0.0
airplanes from,0.500483412661,0.5,2,bottom_up,1.3,1.3,False,1108.33902992,1110.48424445,-0.000966825321682,0.0,0.0
all of,0.553834270334,0.5,2,bottom_up,1.0,1.0,False,1031.35483556,1280.24098407,-0.107668540668,0.0,0.0
all the,0.531872762879,0.5,2,bottom_up,1.9,1.6,False,947.989500408,1077.07852648,-0.0637455257573,0.3,0.0
